Woreda,Kebele,Village Name,Name of water system,Latitude,Longitude,Elevation,Photo,Year of construction (EFY),on spot or have distribution,Number of water points,# Non functional water points,Total HH beneficiaries,#house hold connections,Type of water system,water source fenced,guard at source,Type of lifting device (on spot),Type of hand pump,Type of power source,Functionality Status,Has the system ever been maintained/Rehabilitated?,water quality test conducted regularly,Water quality complain from user community,What is the complain ?,Who manages the system?,Year of WASHCO established (EFY),Are all WASHCO members active?,Date of last woreda visit to the WASHCO (EFY)?,Was there WASHCO training?,Date of last WASHCO training (EFY),# of women WASHCO members,Does the WASHCO have bank account?,When was the bank account opened (EFY)?,the last audit conducted (EFY),Water fee collection,Fee collection Modality,Fee collected regularly,How many Birr per specified modality,
Mana,Dowaa,Lalo bilo,Aba Qoro,7.79799462,36.71526908,1794,https://akvoflow-23.s3.amazonaws.com/images/e8fb915c-bcd7-4160-94bd-c05bc60cd939.jpg,2008-01-17,On Spot,,,55,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2010-05-14,No,2012-04-19,No,,3,No,,2013-11-06,No,,No,,
Mana,Dowaa,Lalo Bilo4,Tabela,7.797093369,36.71378048,1737,https://akvoflow-23.s3.amazonaws.com/images/b59cc55d-f600-45d5-b561-fcc01b6c18e0.jpg,2002-06-05,On Spot,,,92,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2002-04-10,No,2011-10-07,No,,3,No,,2012-03-08,No,,No,,
Mana,Dowaa,Lalo Bilo,Buru 1st,7.802144157,36.71803644,1828,https://akvoflow-23.s3.amazonaws.com/images/e422c843-34a6-414f-8a41-9b95acfde33a.jpg,2001-02-07,On Spot,,,96,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2012-01-11,No,2013-09-12,No,,3,No,,,No,,No,,
Mana,Dowaa,Lalo Biko,Buru,7.802058412,36.71800706,1818,https://akvoflow-23.s3.amazonaws.com/images/f61842d2-b73d-4e7a-9bd6-299fef9a214f.jpg,2007-03-22,On Spot,,,48,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2011-05-25,No,2013-07-10,No,,3,No,,,No,,No,,
Mana,Dowaa,Cocee,Minchi,7.812756198,36.70698191,1800,https://akvoflow-23.s3.amazonaws.com/images/27ae72d3-31c6-4e3d-beb2-4383536a9422.jpg,2004-04-28,On Spot,,,57,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2004-12-21,No,2012-11-14,No,,3,No,,,No,,No,,
Mana,Dowaa,Koriya,Minchi,7.806986454,36.71333409,1731,https://akvoflow-23.s3.amazonaws.com/images/2b51d367-6114-401b-975e-99d2b5791925.jpg,2004-02-16,On Spot,,,58,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2009-11-04,No,2013-12-19,No,,3,No,,,No,,No,,
Mana,Dowaa,Coce,Gifti,7.81297633,36.7100595,1687,https://akvoflow-23.s3.amazonaws.com/images/2bc9198b-831b-4351-b800-4cc4f24bb415.jpg,2007-01-02,On Spot,,,60,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2011-05-11,No,2013-04-10,No,,3,No,,,No,,No,,
Mana,Dowaa,Sena,Anunu,7.821085585,36.72330722,1713,https://akvoflow-23.s3.amazonaws.com/images/ed179f51-de80-4f44-8796-d2555f9b53ed.jpg,2006-01-11,On Spot,,,64,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2012-06-13,No,2013-12-05,No,,3,No,,,No,,No,,
Mana,Dowaa,Qoye,Qoye,7.799796294,36.72812389,1821,https://akvoflow-23.s3.amazonaws.com/images/31e96f1a-4be7-4047-9f26-f09004c896c6.jpg,2001-04-10,On Spot,,,70,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2010-12-20,No,2012-01-25,No,,3,No,,,No,,No,,
Mana,Dowaa,Masara,Aba Arabu,7.791109148,36.73251445,1894,https://akvoflow-23.s3.amazonaws.com/images/23317f31-99b3-4787-9f99-39891f8b0d7d.jpg,2000-02-09,On Spot,,,68,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2009-04-08,No,2009-11-05,No,,3,No,,,No,,No,,
Mana,Dowaa,sena,Aba Zinab,7.817529703,36.72794993,1789,https://akvoflow-23.s3.amazonaws.com/images/9373db66-8d3c-4d64-85e3-ffb731e74a16.jpg,2001-06-27,On Spot,,,72,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2010-01-15,No,2012-03-07,No,,3,No,,,No,,No,,
Mana,Dowaa,Sena,Lalo bilo,7.807654025,36.72175839,1759,https://akvoflow-23.s3.amazonaws.com/images/c81ece7c-05fc-478b-be54-e01ed1e17ac7.jpg,2004-05-13,On Spot,,,82,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2011-05-11,No,2013-02-06,No,,3,No,,,No,,No,,
Mana,Dowaa,Sena,Aba Dula,7.822248813,36.72014084,1679,https://akvoflow-23.s3.amazonaws.com/images/f1ded32f-908c-439a-89aa-78752742a5ff.jpg,2001-12-11,On Spot,,,57,,Spring,No,No,Gravity,,,Functional,No,No,No,,WASHCO,2010-05-20,No,2011-04-15,No,,3,No,,,No,,No,,
Mana,Dowaa,Qilxu,Sonboqo,7.810242337,36.71613642,1785,https://akvoflow-23.s3.amazonaws.com/images/52fde5a7-f6f5-4a8a-8895-0d6f6e8ac3db.jpg,2008-03-04,On Spot,,,49,,Spring,No,No,Gravity,,,Functional,No,No,Yes,Maintanances,WASHCO,2012-05-28,No,2013-04-09,No,,3,No,,,No,,No,,
